Source	Sample	OTU1	OTU2	OTU3	OTU4	OTU5	OTU6	OTU7	OTU8	OTU9	OTU10	OTU11	OTU12	OTU13	OTU14	OTU15	OTU16	OTU17	OTU18	OTU19	OTU20
Tsitsikamma favus	TIC2018_014E	33.71614955	3.494682601	21.23122465	3.204144282	0.02192742	2.209187589	0	4.201841903	0.079486898	0.904506085	0.290538318	0.049336696	0.008222783	0.013704638	2.521653327	0.161714724	0.002740928	0	0	0
Tsitsikamma nguni	TIC2015_003E	31.2578286	2.105135561	15.37435856	3.923390844	0.197987797	1.470766496	0.222231201	3.135480221	1.272778698	0.004040567	0.250515172	15.72992848	0.153541557	0.008081135	0.004040567	0.020202836	0.335367086	0	0.133338721	0.068689644
Tsitsikamma nguni	TIC2015_003F	52.88289058	1.742547194	6.090373281	5.637652686	0.183650807	0.657726147	0.183650807	0.60220381	0.119586572	0.025625694	0.217818399	10.92081661	0.076877082	0.012812847	0	0.051251388	0.811480311	0.012812847	0.064064235	0.051251388
Tsitsikamma nguni	TIC2015_003L	64.27106151	0.448524043	3.376099579	6.474044713	0.006953861	0.49372414	0.05910782	0.128646431	2.527728521	0.024338514	0.06258475	0.152984945	0.024338514	0.010430792	0	0.034769306	0.86227878	0	0.017384653	0
Tsitsikamma nguni	TIC2015_006A	41.4914552	0.217503884	23.13827033	1.833247022	0.341791818	2.744691869	0	0.466079751	1.543241844	0	0.020714656	0.082858622	0.134645262	0.020714656	0	0	1.460383221	0	0	0
Tsitsikamma nguni	TIC2015_006B	24.07837928	0.597808037	15.70906676	0.863500498	0.265692461	0.730654268	0.066423115	3.088674859	0.996346729	0.066423115	0	0.033211558	0.398538691	0.066423115	0	0.033211558	0.863500498	0	0.099634673	0
Tsitsikamma nguni	TIC2020_003	62.1187738	0.078502178	1.899752718	2.96541979	0.058876634	0.459237744	0	0.10990305	0.03532598	1.208933548	0.001962554	6.733524355	0.005887663	0.090277505	0	2.561133571	0.001962554	0	0.001962554	0
Tsitsikamma madiba	TIC2021_002	0.008102743	16.06166187	0.265364826	0.006077057	16.25815338	0.86091642	0	0.71506705	7.620629583	0.445650853	1.28428473	0.0141798	0.066847628	0.111412713	0	1.292387473	0.796094478	0	0	0
Tsitsikamma madiba	TIC2021_031	0.045015112	58.66326552	0.703093181	0.002143577	3.196072967	2.152151079	0	0.437289662	0.602345073	0.102891685	3.32040042	0.002143577	0.120040299	0.019292191	0	0.075025187	0.325823669	0	0.002143577	0.004287154
Tsitsikamma madiba	TIC2021_043	0.1748437	53.22931016	0.050333793	0.034438911	1.769630179	0.558970012	0	0.283458726	1.520610363	0.378828017	2.845183851	4.437321183	0.045035499	0.005298294	0.002649147	0.02649147	0.063579527	0	0.013245735	0.06093038
Tsitsikamma madiba	TIC2022_004	0.011753298	49.01713043	0.993153704	0.002938325	2.406487821	3.249786971	0	1.178268152	6.082331854	1.422149091	4.298768842	0.014691623	0.07051979	0.846237475	0	0.014691623	4.480944965	0	0	0
Tsitsikamma madiba	TIC2022_005	0	47.57684852	0.200775408	0	17.95901412	2.222376073	0	0.69579064	4.652450845	0.138465799	4.067432844	0.263085018	0.038078095	0.05538632	0	0	2.329687067	0	0	0.00692329
Tsitsikamma madiba	TIC2022_008	0.006675345	36.7477721	0.637495411	0	27.96635626	2.366409666	0	0.170221288	6.024498515	0.123493875	3.060645506	0	0.076766463	0.030039051	0	0.010013017	4.185441073	0	0	0.040052068
Tsitsikamma madiba	TIC2022_009	0.009858822	47.34008991	0.463364619	0	19.71172805	0.554065778	0	0.193232905	7.031311618	0.274075243	3.97113337	0.011830586	0.053237637	0.084785866	0	0.005915293	1.344743276	0	0	0.134079975
Tsitsikamma madiba	TIC2022_063	0.011899096	36.04712042	0.042836744	0.002379819	14.86910995	1.742027606	0	3.207996192	12.16801523	0.099952404	2.553545931	0.014278915	0.047596383	0.059495478	0.019038553	0.023798191	2.33460257	0	0	0
Tsitsikamma madiba	TIC2022_070	0	34.55882353	0.153186275	0	29.3236826	1.328890931	0	0.298713235	1.727175245	0.07276348	2.719056373	0	0.111060049	0.015318627	0.015318627	0.007659314	1.405484069	0	0	0
Tsitsikamma madiba	TIC2022_001	0.006864517	40.47548223	0.700180766	0	17.11095348	2.546735922	0	0.757385077	6.683751688	0.789419491	3.484886621	0.00915269	0.164748415	0.144154864	0.002288172	0.018305379	1.178408805	0	0	5.70899023
Tsitsikamma madiba	TIC2022_003	0.077279753	48.3127254	0.685500029	0.002862213	8.562310378	6.249642223	0	0.24328811	3.20997195	1.708741199	4.183124392	0.002862213	0.057244261	0.665464537	0	0.018604385	1.408208827	0	0	0.028622131
Tsitsikamma madiba	TIC2022_021	0.421254314	42.36821039	0.129919555	0.028871012	25.29494364	3.364785239	0	0.351701421	5.759766932	0.585294156	2.926470781	0.005249275	0.015747825	0.316268815	0	0.015747825	4.712536581	0	0	0.015747825
Tsitsikamma michaeli	TIC2015_201	0.11468377	39.16663127	0.169901882	0.067960753	0.012742641	16.23837234	0.008495094	5.058828527	1.376205241	0.046723017	4.523637599	0	0.191139617	0.012742641	0.063713206	0	0.998173555	0	0.008495094	0.029732829
Tsitsikamma michaeli	TIC2015_202	0.102790015	39.10792952	0.543318649	0.003671072	0.01835536	16.18942731	0	2.408223201	3.527900147	0.01835536	2.485315712	0.011013216	0.220264317	0.029368576	0.062408223	0.011013216	0.862701909	0.011013216	0.003671072	4.335535977
Tsitsikamma michaeli	TIC2015_204	0.294279016	56.47164447	1.032470447	0.074816699	0.079804479	5.980348147	0	3.137313582	0.418973515	0.079804479	3.730859394	0.03990224	0.124694498	0.099755599	0.01995112	0	0.413985735	0	0.049877799	2.862985685
Tsitsikamma michaeli	TIC2017_026	0.038494604	55.76841646	0.622329437	0.011548381	0.001283153	0.001283153	0	0.005132614	3.912334954	2.688206536	6.261788973	0.001283153	0.002566307	0.414458573	0.00384946	0.545340228	0.041060911	0	0.008982074	0
Tsitsikamma michaeli	TIC2017_028	0.053065647	62.58429699	0.35708758	0.01547748	5.075507993	1.285736396	0	0.31065514	0.494173834	1.645035045	5.068874787	0.002211069	0.021005152	0.284122316	0.002211069	0.161408008	2.047449532	0	0.00773874	0.002211069
Tsitsikamma michaeli	TIC2017_030	0.042111299	68.19073731	0.305530916	0.013439776	0.895985091	1.802722003	0	0.046591225	1.903072333	1.096685751	6.202008799	0.00179197	0.013439776	0.132605793	0.00179197	0.223100288	1.918304079	0	0.00179197	0.00179197
Tsitsikamma michaeli	TIC2017_034	0.033408249	66.5249347	0.16400413	0.018222681	1.394035109	0.912652615	0.001518557	0.388750531	1.135880459	0.67120209	7.999757031	0.00455567	0.010629897	0.083520622	0.001518557	0.347749499	2.321873292	0	0.009111341	0.001518557
Tsitsikamma michaeli	TIC2019_013N	0.002659999	53.78517849	0.007979997	0	0	4.540618184	0	1.643879342	0.188859924	1.117199553	5.471617811	0.002659999	0.010639996	0.034579986	0.002659999	0.957599617	0.021279991	0	0	1.877959249
